Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 108  123.7  2.1  0.8  1.6  19.5  125.3  1.5  1.3  1.1  9.2  0 0 0 0
 109  121.5  2.0  1.6  1.3  14.0  122.2  3.5  3.7  2.3  43.3  0 0 0 0
 110  123.1  2.5  -1.3  2.0  33.5  131.5  4.4  -3.0  3.4  89.9  6107  14.0738  6102  13.5799 
 111  127.6  1.9  -0.4  1.3  12.5  127.7  4.0  3.2  2.7  59.4  0 0 0 0
 112  121.7  1.8  6.9  1.2  11.2  124.0  3.0  6.7  2.0  33.1  402  11.6647  368  11.7001 
 113  133.9  8.5  -3.6  9.1  400.3  126.1  3.7  -0.4  5.0  215.7  6086  13.9855  6084  14.3463 
 114  124.8  1.0  -2.0  0.9  6.7  124.0  0.9  3.3  0.8  5.5  779  12.5001  849  13.2122 
 115  129.9  2.9  0.9  2.9  41.9  125.4  4.1  1.6  5.2  236.5  6027  14.4971  6032  14.2614 
 116  125.6  3.5  2.6  2.7  62.1  128.8  5.4  -1.4  4.0  125.8  665  12.6719  685  12.5252 
 117  126.7  1.3  -0.9  1.5  19.8  123.3  1.1  5.4  1.3  14.8  6093  14.2165  6096  14.3337 
 118  131.2  6.4  -0.2  4.7  184.6  130.3  9.1  -4.3  6.7  329.2  247  11.9029  242  11.5437 
 119  119.3  2.0  6.9  2.0  34.8  135.6  2.3  -9.0  2.4  42.7  6084  14.1915  6084  14.7404 
 120  128.1  5.6  -0.3  3.1  45.5  129.1  5.7  1.4  3.8  116.6  3062  15.2129  3015  13.6901 
 121  128.7  1.2  -1.9  0.9  7.5  126.1  1.8  1.4  1.4  17.5  6072  14.4891  6070  14.5542 
 122  127.8  2.2  -0.6  1.8  28.0  127.4  1.0  0.3  0.9  6.0  6067  14.3255  6064  14.2635 
 123  117.6  8.5  3.9  7.3  450.0  115.6  2.7  3.2  2.3  44.9  5605  14.5957  5540  14.3773 
 124  128.1  4.3  -3.1  3.5  94.5  129.0  1.5  0.3  1.1  10.6  2851  14.7909  2948  14.4328 
 125  129.2  1.4  -0.5  1.6  20.2  126.5  0.6  1.5  0.7  3.6  5882  14.3095  5837  14.3786 
 126  127.7  1.7  -3.7  1.6  21.4  126.1  1.1  0.4  1.0  8.8  900  14.3423  881  14.4699 
 127  130.8  6.0  -5.2  7.1  386.6  128.4  2.0  -0.3  2.4  47.6  2613  14.2073  2576  14.3642 
