Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 105  127.7  5.2  -3.2  3.9  63.5  138.1  9.8  0.1  6.6  186.7  0 0 0 0
 106  133.4  7.8  -8.4  6.0  286.8  127.7  5.1  0.3  3.8  121.0  6173  13.8215  6155  14.079 
 107  127.0  1.4  -4.5  1.2  11.2  130.6  5.4  -2.1  4.3  156.8  0 0 0 0
 108  127.2  2.7  -2.2  2.0  31.8  139.9  8.0  -11.9  5.8  265.8  0 0 0 0
 109  130.0  2.4  -1.3  1.6  19.6  131.4  5.9  -3.5  3.9  119.7  0 0 0 0
 110  118.8  6.5  0.6  5.3  231.9  135.4  5.4  -1.6  4.5  83.1  6179  13.5445  6176  13.369 
 111  135.7  5.0  -8.7  3.4  88.7  121.9  7.3  7.7  5.3  123.1  0 0 0 0
 112  126.5  2.6  2.6  1.8  15.0  124.0  4.5  2.5  3.2  45.2  6178  12.3186  6129  12.4714 
 113  121.9  4.8  1.5  5.6  66.9  124.4  3.2  -4.7  4.7  99.4  6134  13.6038  6133  13.7404 
 114  120.6  1.3  2.5  1.2  6.7  117.3  2.3  5.9  2.1  20.6  655  12.5437  644  12.9265 
 115  125.0  6.1  -0.5  6.8  100.6  122.1  1.5  0.3  2.0  18.1  6087  14.0185  6060  13.5555 
 116  120.2  3.5  3.9  2.8  36.3  128.1  3.3  -1.9  2.6  28.2  6153  12.6584  6174  12.4117 
 117  122.7  2.2  1.1  2.9  36.5  117.6  2.2  5.6  2.9  37.8  6145  13.6445  6153  13.4706 
 118  116.2  6.3  2.3  5.0  114.3  133.6  4.0  -7.3  3.1  38.7  0  0  0  0 
 119  111.1  2.7  6.1  2.9  37.5  110.8  1.6  2.1  1.8  13.2  6109  12.7638  6131  13.1859 
 120  121.1  5.8  0.2  3.4  26.5  120.2  7.1  3.4  5.1  113.5  2678  14.4183  2618  12.7134 
 121  131.0  3.6  -4.1  3.1  43.5  123.6  2.1  4.5  1.8  13.8  6136  13.6431  6144  13.9165 
 122  127.9  2.5  1.9  2.3  23.1  123.7  3.2  1.9  2.8  34.7  6131  13.813  6131  13.6825 
 123  113.3  4.8  5.3  4.4  88.4  120.1  2.4  1.1  2.2  22.0  5521  13.7579  5523  14.1669 
 124  119.6  4.3  0.4  3.8  60.8  128.4  3.0  -1.3  2.5  27.3  2385  14.0914  2470  13.496 
 125  123.9  1.5  3.2  1.9  15.2  124.3  0.5  -3.3  0.6  1.8  5909  14.0073  5897  13.3646 
 126  125.2  2.7  -4.0  2.7  31.5  120.8  3.4  4.1  3.4  50.9  847  13.5024  911  13.5842 
 127  130.8  4.3  -6.4  5.5  119.1  123.4  0.9  1.1  1.1  5.5  2212  14.0537  2184  13.4891 
